k,seed,split,auroc,f1,accuracy,precision,recall,loss
5,12,ood,0.483692,0.666667,0.500000,0.500000,1.000000,1.271735
5,13,test,0.678778,0.605702,0.618626,0.637599,0.576844,0.651684
5,13,ood,0.379928,0.662714,0.495600,0.497790,0.991067,1.160422
5,14,test,0.648451,0.561045,0.597815,0.629299,0.506148,0.660423
5,14,ood,0.404585,0.661347,0.499200,0.499591,0.978000,0.736963
5,15,test,0.673848,0.633181,0.623829,0.627136,0.639344,0.656433
5,15,ood,0.832804,0.856759,0.833033,0.750163,0.998667,0.552110
5,16,test,0.653528,0.655346,0.609261,0.593516,0.731557,0.656084
5,16,ood,0.722284,0.657986,0.492167,0.496023,0.977000,0.701346
5,17,test,0.627815,0.634374,0.591571,0.581554,0.697746,0.669211
5,17,ood,0.588309,0.591658,0.567267,0.560088,0.627000,0.684897
5,18,test,0.656903,0.576034,0.589490,0.605650,0.549180,0.662134
5,18,ood,0.750177,0.663427,0.496667,0.498326,0.992133,0.693588
5,19,test,0.646914,0.584714,0.595734,0.611173,0.560451,0.679429
5,19,ood,0.438495,0.658809,0.492467,0.496186,0.980000,0.990972
5,2,test,0.648032,0.664924,0.599896,0.578469,0.781762,0.669193
5,2,ood,0.815483,0.666459,0.499933,0.499967,0.999200,0.682875
5,20,test,0.673051,0.548235,0.600416,0.643646,0.477459,0.663884
5,20,ood,0.439226,0.666637,0.499967,0.499983,0.999933,1.568739
5,3,test,0.659148,0.649499,0.617586,0.607493,0.697746,0.676169
5,3,ood,0.739448,0.658114,0.496333,0.498116,0.969533,0.750078
5,4,test,0.593791,0.596441,0.563476,0.562103,0.635246,0.682814
5,4,ood,0.779516,0.658028,0.494167,0.497021,0.973333,0.667676
5,5,test,0.666982,0.699839,0.610822,0.575198,0.893443,0.665326
5,5,ood,0.406619,0.660222,0.495000,0.497465,0.981267,0.838982
5,6,test,0.630779,0.634169,0.582206,0.570960,0.713115,0.678612
5,6,ood,0.340209,0.633223,0.491133,0.495004,0.878533,0.778663
5,7,test,0.675263,0.691976,0.628512,0.597615,0.821721,0.652084
5,7,ood,0.295612,0.656252,0.492433,0.496126,0.969000,0.962371
5,8,test,0.640024,0.670450,0.607180,0.584030,0.786885,0.663606
5,8,ood,0.823198,0.664476,0.506467,0.503330,0.977400,0.677387
5,9,test,0.642077,0.677498,0.586889,0.561238,0.854508,0.678483
5,9,ood,0.733128,0.655019,0.493200,0.496491,0.962267,0.724597
6,1,test,0.655322,0.591533,0.599327,0.611834,0.572536,0.663605
6,1,ood,0.779087,0.595028,0.676900,0.796978,0.474733,0.612611
6,10,test,0.636425,0.577571,0.592031,0.607579,0.550388,0.667977
6,10,ood,0.718959,0.705080,0.723100,0.754158,0.662000,0.633969
6,11,test,0.653054,0.643599,0.595398,0.581250,0.720930,0.668669
6,11,ood,0.734154,0.704910,0.652433,0.612442,0.830267,0.646649
6,12,test,0.651057,0.599430,0.605499,0.617371,0.582503,0.675783
6,12,ood,0.524485,0.435050,0.399967,0.411018,0.462067,0.726683
6,13,test,0.657332,0.613065,0.611111,0.618243,0.607973,0.656841
6,13,ood,0.254019,0.555224,0.419167,0.449849,0.725067,1.014548
6,14,test,0.691336,0.678150,0.632997,0.610275,0.763012,0.648804
6,14,ood,0.442088,0.667284,0.509167,0.504700,0.984400,1.017090
6,15,test,0.713746,0.702045,0.656566,0.626412,0.798450,0.641194
6,15,ood,0.369282,0.666859,0.500433,0.500217,1.000000,1.266451
6,16,test,0.618605,0.629122,0.589787,0.580524,0.686600,0.675564
6,16,ood,0.781746,0.828942,0.816467,0.776181,0.889400,0.608748
6,17,test,0.648934,0.648148,0.616162,0.605187,0.697674,0.664535
6,17,ood,0.640130,0.621786,0.521900,0.514331,0.786000,0.695248
6,18,test,0.657897,0.607964,0.607744,0.615909,0.600221,0.664449
6,18,ood,0.318322,0.654551,0.500067,0.500035,0.947267,0.923180
6,19,test,0.628715,0.475928,0.572391,0.627949,0.383167,0.683673
6,19,ood,0.811129,0.540619,0.632633,0.721277,0.432333,0.607305
6,2,test,0.628002,0.618697,0.592593,0.588412,0.652270,0.665664
6,2,ood,0.779112,0.685815,0.565367,0.536999,0.948733,0.663151
6,20,test,0.638389,0.571763,0.589787,0.606965,0.540421,0.677011
6,20,ood,0.526986,0.456193,0.369800,0.401194,0.528667,0.712876
6,3,test,0.665778,0.655240,0.604938,0.587357,0.740864,0.647670
6,3,ood,0.424516,0.667735,0.502400,0.501203,1.000000,1.016747
6,4,test,0.666909,0.649505,0.602694,0.587287,0.726467,0.671066
6,4,ood,0.346550,0.660662,0.496433,0.498188,0.980400,1.042891
6,5,test,0.655266,0.570208,0.604938,0.635374,0.517165,0.659896
6,5,ood,0.260418,0.659224,0.496367,0.498142,0.974267,0.803360
6,6,test,0.625698,0.626667,0.591470,0.583572,0.676633,0.666409
6,6,ood,0.824704,0.838559,0.816000,0.746978,0.955733,0.519144
6,7,test,0.650559,0.575557,0.604377,0.630607,0.529347,0.678402
6,7,ood,0.785232,0.804344,0.788000,0.746773,0.871533,0.603163
6,8,test,0.638650,0.616372,0.597643,0.596273,0.637874,0.667121
6,8,ood,0.852799,0.835889,0.816600,0.756342,0.934133,0.590623
6,9,test,0.679096,0.610209,0.622896,0.640682,0.582503,0.660250
6,9,ood,0.408097,0.670268,0.513667,0.507009,0.988600,0.825135
7,1,test,0.657836,0.549724,0.598027,0.629747,0.487745,0.657425
7,1,ood,0.706079,0.666667,0.500000,0.500000,1.000000,1.212279
7,10,test,0.673649,0.616995,0.616523,0.620050,0.613971,0.668376
7,10,ood,0.779298,0.656790,0.497267,0.498583,0.962067,0.881351
7,11,test,0.689451,0.643071,0.633169,0.629847,0.656863,0.636995
7,11,ood,0.483771,0.666667,0.500000,0.500000,1.000000,1.316762
7,12,test,0.673168,0.649914,0.622072,0.608556,0.697304,0.658161
7,12,ood,0.396710,0.665523,0.499567,0.499782,0.995733,0.986397
7,13,test,0.667869,0.595913,0.622072,0.644793,0.553922,0.655760
7,13,ood,0.871350,0.803361,0.797200,0.779674,0.828533,0.494416
7,14,test,0.683127,0.595318,0.627004,0.655376,0.545343,0.667715
7,14,ood,0.392045,0.666667,0.500000,0.500000,1.000000,1.738657
7,15,test,0.664261,0.570100,0.601110,0.622642,0.525735,0.656120
7,15,ood,0.787115,0.660027,0.495933,0.497931,0.978600,0.744089
7,16,test,0.664184,0.591837,0.605425,0.617021,0.568627,0.670148
7,16,ood,0.468477,0.665834,0.500733,0.500369,0.994800,1.248535
7,17,test,0.684240,0.644618,0.635635,0.632822,0.656863,0.649859
7,17,ood,0.460402,0.666667,0.500000,0.500000,1.000000,1.327496
7,18,test,0.643557,0.661507,0.595561,0.571301,0.785539,0.660136
7,18,ood,0.748756,0.677142,0.547267,0.526193,0.949533,0.657764
7,19,test,0.650120,0.678693,0.593711,0.563563,0.852941,0.678312
7,19,ood,0.364907,0.665421,0.498600,0.499299,0.997200,0.974294
7,2,test,0.633828,0.535714,0.583231,0.609375,0.477941,0.670445
7,2,ood,0.367383,0.506592,0.409900,0.435270,0.605867,0.708708
7,20,test,0.672978,0.604473,0.618372,0.631509,0.579657,0.653345
7,20,ood,0.810046,0.666667,0.500000,0.500000,1.000000,1.110316
7,3,test,0.659931,0.603254,0.609125,0.616368,0.590686,0.654086
7,3,ood,0.842954,0.781866,0.775300,0.759668,0.805400,0.563320
7,4,test,0.666279,0.632361,0.603576,0.592712,0.677696,0.662051
7,4,ood,0.835608,0.840460,0.820033,0.754790,0.948067,0.600827
7,5,test,0.651949,0.523364,0.591245,0.633043,0.446078,0.666741
7,5,ood,0.393326,0.529276,0.461633,0.470198,0.605333,0.775502
7,6,test,0.671394,0.618901,0.619605,0.623910,0.613971,0.678988
7,6,ood,0.329104,0.665448,0.499700,0.499849,0.995133,1.422913
7,7,test,0.639488,0.605110,0.580764,0.575055,0.638480,0.673270
7,7,ood,0.860965,0.660569,0.501500,0.500774,0.970133,0.635010
7,8,test,0.671979,0.554633,0.602959,0.636508,0.491422,0.650837
7,8,ood,0.292376,0.667156,0.501100,0.500551,1.000000,0.841440
7,9,test,0.669778,0.647904,0.622072,0.609730,0.691176,0.648280
7,9,ood,0.536244,0.666696,0.500067,0.500033,1.000000,0.953899
8,1,test,0.663797,0.690361,0.597339,0.562281,0.894003,0.672977
8,1,ood,0.348014,0.665480,0.498833,0.499416,0.997000,0.918618
8,10,test,0.673171,0.664156,0.625350,0.603881,0.737796,0.653852
8,10,ood,0.498768,0.666993,0.500733,0.500367,1.000000,0.916125
8,11,test,0.696516,0.673392,0.637255,0.614499,0.744770,0.633972
8,11,ood,0.594421,0.666875,0.502067,0.501039,0.996800,0.913291
8,12,test,0.688272,0.679577,0.617647,0.586626,0.807531,0.651499
8,12,ood,0.484646,0.677556,0.526867,0.513887,0.994200,0.838920
8,13,test,0.648182,0.694611,0.607143,0.569643,0.889819,0.667378
8,13,ood,0.193168,0.666192,0.499467,0.499733,0.998933,0.780240
