k,seed,split,auroc,f1,accuracy,precision,recall,loss
5,19,test,0.9964265919897319,0.9872701555869873,0.9860248447204969,0.9803370786516854,0.9943019943019943,0.06726745083384837
5,20,ood,0.5193849982951138,0.09212907117008444,0.5026433173632909,0.5276338514680483,0.0504708409053362,2.976606407507582
5,20,test,0.991365479420087,0.9772727272727273,0.9751552795031055,0.9745042492917847,0.98005698005698,0.1171934799390978
6,1,ood,0.4971861871929298,0.5506998848995656,0.5002065091690071,0.5001686113171916,0.612588798942673,2.668457942327074
6,1,test,0.9960410256410256,0.9860834990059643,0.9842696629213483,0.9802371541501976,0.992,0.07093959550028169
6,2,ood,0.47942211358453274,0.6422293424262911,0.49731538080290766,0.4985168621366312,0.9023624648934413,2.5402797915907565
6,2,test,0.9925538461538461,0.9900596421471173,0.9887640449438202,0.9841897233201581,0.996,0.06059490836092404
6,3,ood,0.4725293028766301,0.6486966994522984,0.494011234098794,0.4968155663899504,0.9343300842557409,2.807395266065721
6,3,test,0.9947282051282051,0.9880952380952381,0.9865168539325843,0.9803149606299213,0.996,0.04934709283822615
6,4,ood,0.48069744843507334,0.6182224013392442,0.49136791673550306,0.4948141531437646,0.8236411696679332,2.0300039726960297
6,4,test,0.9979282051282051,0.9920318725099602,0.9910112359550561,0.9880952380952381,0.996,0.04055899271874556
6,5,ood,0.4924829911911165,0.35088662009672217,0.5010738476788369,0.5019987699876999,0.2697009747232777,2.167220211840054
6,5,test,0.9957538461538461,0.9759036144578314,0.9730337078651685,0.9798387096774194,0.972,0.12943521498735727
6,6,ood,0.48103877707924403,0.6401077977620248,0.49256566991574424,0.4959150326797386,0.9025276722286469,4.177291070107597
6,6,test,0.992174358974359,0.9801587301587301,0.9775280898876404,0.9724409448818898,0.988,0.09395836567897017
6,7,ood,0.47806469364219784,0.6213383333845633,0.49120270940029737,0.4947863122338082,0.8348752684619197,2.472463092074054
6,7,test,0.995374358974359,0.9800796812749004,0.9775280898876404,0.9761904761904762,0.984,0.06684001395063076
6,8,ood,0.48883650939636164,0.5522344747533372,0.49017016355526183,0.4923037123269952,0.62877911779283,2.9767337191057646
6,8,test,0.9945641025641025,0.9820359281437125,0.9797752808988764,0.9800796812749004,0.984,0.12046911554144961
6,9,ood,0.4716135116455341,0.5581411773014584,0.48319015364282175,0.48744834392154446,0.6528167850652569,2.479760954291849
6,9,test,0.9967794871794872,0.9841897233201581,0.9820224719101124,0.97265625,0.996,0.07704182148778013
6,10,ood,0.4774587207515397,0.5110439797559732,0.48525524533289277,0.4866621833669581,0.5379976870973071,1.9205628499644594
6,10,test,0.9880820512820514,0.96484375,0.9595505617977528,0.9427480916030534,0.988,0.12068498068089996
6,11,ood,0.489514605264598,0.6403511355937196,0.4957459111184537,0.4976420493567144,0.8978192631752849,3.3708221748121554
6,11,test,0.9964923076923078,0.9900199600798403,0.9887640449438202,0.9880478087649402,0.992,0.058937228910508566
6,12,ood,0.4714806743581648,0.6481571776853579,0.49335040475797126,0.4964629377389165,0.9333388402445069,2.999166438054623
6,12,test,0.9950769230769231,0.9900199600798403,0.9887640449438202,0.9880478087649402,0.992,0.051405156476123794
6,13,ood,0.4843681054152169,0.6138500635324016,0.497934908309929,0.4987096108186229,0.7981166363786553,2.9700343122649224
6,13,test,0.9939589743589744,0.9743589743589743,0.9707865168539326,0.9610894941634242,0.988,0.11008328622223676
6,14,ood,0.47635260537535484,0.5458209666190319,0.4880637700313894,0.4904840302930524,0.615232116305964,1.5004811053468183
6,14,test,0.9963076923076923,0.9629629629629629,0.9595505617977528,0.9915254237288136,0.936,0.12006598810798355
6,15,ood,0.49992633494172806,0.5898689481903986,0.5010738476788369,0.5007493659211436,0.7175780604658847,2.3320824401145566
6,15,test,0.9990564102564102,0.9900199600798403,0.9887640449438202,0.9880478087649402,0.992,0.0496128481089337
6,16,ood,0.5024004191839314,0.6396325228941748,0.49128531306790024,0.4952204050197073,0.9029406905666612,3.517447519544549
6,16,test,0.9968,0.9879518072289156,0.9865168539325843,0.9919354838709677,0.984,0.05519376133712025
6,17,ood,0.48239279216199416,0.6162856603060646,0.49669585329588634,0.4979645837573784,0.8083594911614076,2.4073666969912133
6,17,test,0.9929025641025641,0.9783037475345168,0.9752808988764045,0.9649805447470817,0.992,0.11034197917407644
6,18,ood,0.47969269415935434,0.636801512957655,0.49235916074673713,0.49574419139636533,0.8900545184206179,3.347535388806867
6,18,test,0.9971076923076924,0.9841897233201581,0.9820224719101124,0.97265625,0.996,0.07244367739518306
6,19,ood,0.48116200024405814,0.5692943751519994,0.4879811663637866,0.49127540924626734,0.676771848670081,2.351623020918555
6,19,test,0.9951384615384615,0.9819639278557114,0.9797752808988764,0.9839357429718876,0.98,0.06287801680654022
6,20,ood,0.4757440737224837,0.6168753268325694,0.48558566000330416,0.4914473361760525,0.8282669750536924,3.955174037826043
6,20,test,0.9919589743589743,0.9841269841269841,0.9820224719101124,0.9763779527559056,0.992,0.11542569369859328
7,1,ood,0.48247806035398155,0.48313627878033605,0.48542045266809847,0.4852904408700725,0.48100115645134645,2.330178254819137
7,1,test,0.9956911869225302,0.9757575757575757,0.9735099337748344,0.9938271604938271,0.9583333333333334,0.09815289555263007
7,2,ood,0.48643456860183415,0.6309397939763768,0.4954154964480423,0.49735676525217887,0.8626301007764745,3.49224793945182
7,2,test,0.9967572850035537,0.9880952380952381,0.9867549668874173,0.9880952380952381,0.9880952380952381,0.10572326575784245
7,3,ood,0.4852527036290945,0.6290131158516175,0.49648934412687923,0.49795230065044566,0.8537089046753676,1.9164528860224601
7,3,test,0.9941808813077471,0.9705882352941176,0.9668874172185431,0.9593023255813954,0.9821428571428571,0.10982996933162212
7,4,ood,0.4877231441939065,0.5732391439850405,0.49099620023129026,0.4935010732172669,0.6837105567487196,2.432410438514291
7,4,test,0.9977789623312011,0.9821428571428571,0.9801324503311258,0.9821428571428571,0.9821428571428571,0.07316941273165867
7,5,ood,0.4771908865814934,0.5583159088492753,0.48525524533289277,0.4889206132456086,0.650669089707583,2.014061717919346
7,5,test,0.9846748400852878,0.9386503067484663,0.9337748344370861,0.9683544303797469,0.9107142857142857,0.18833363335579634
7,6,ood,0.497174816053655,0.5908223717240687,0.49508508177763094,0.4966518485172472,0.7290599702626797,2.0287771793660587
7,6,test,0.9948471926083867,0.9788519637462235,0.9768211920529801,0.9938650306748467,0.9642857142857143,0.10221790310461074
7,7,ood,0.4987831311601859,0.5910646005232442,0.4964480422930778,0.4975717189970635,0.727820915248637,1.98065416631012
7,7,test,0.9959577114427861,0.9819277108433735,0.9801324503311258,0.9939024390243902,0.9702380952380952,0.08067424363689497
7,8,ood,0.49845501255240043,0.618574784651527,0.49706756980009914,0.4982087895453857,0.8156286139104576,1.9431966472333457
7,8,test,0.995957711442786,0.9702380952380952,0.9668874172185431,0.9702380952380952,0.9702380952380952,0.08187134811887517
7,9,ood,0.4824321015729523,0.5323659449042059,0.48888980670741783,0.4906317475795779,0.5818602345944159,2.3032752843955078
7,9,test,0.9895611229566453,0.963855421686747,0.9602649006622517,0.975609756097561,0.9523809523809523,0.16504788256715983
7,10,ood,0.5115856897804729,0.5417649105175679,0.5103667602841566,0.5091173265528515,0.5788865025607137,1.4108510609110878
7,10,test,0.9997334754797441,0.9940476190476191,0.9933774834437086,0.9940476190476191,0.9940476190476191,0.021384540875442327
7,11,ood,0.4804370585572255,0.5899986735641332,0.48934412687923345,0.49285318559556784,0.7348422269948786,1.9754676022314648
7,11,test,0.9932924662402275,0.9734513274336283,0.9701986754966887,0.9649122807017544,0.9821428571428571,0.091090523742605
7,12,ood,0.4803522918826319,0.5884431996265547,0.4902114653890633,0.4933743360357842,0.728894762927474,1.473397717371957
7,12,test,0.9939587775408671,0.9580838323353293,0.9536423841059603,0.963855421686747,0.9523809523809523,0.11447773482650518
7,13,ood,0.4898063075685675,0.6102428621446987,0.4942590451016025,0.49640101496556366,0.7918387576408392,1.41313401976775
7,13,test,0.9911602700781806,0.9696969696969697,0.9668874172185431,0.9876543209876543,0.9523809523809523,0.14359145434573292
7,14,ood,0.4746270580192713,0.6024574427236656,0.48686601685114816,0.49169539329363837,0.7776309268131505,1.819237847151813
7,14,test,0.998178749111585,0.9851632047477745,0.9834437086092715,0.9822485207100592,0.9880952380952381,0.05536597187165171
7,15,ood,0.48999477916981415,0.370697626631049,0.4940525359325954,0.4902173913043478,0.2980340327110524,3.2088219785627317
7,15,test,0.9925817341862118,0.975609756097561,0.9735099337748344,1.0,0.9523809523809523,0.11444092099554837
